date,open,high,low,close,volume,dividends,stock_splits
2023-03-01 00:00:00+05:30,28.4,29.21,27.45,28.32,49289,0.0,0.0
2023-03-02 00:00:00+05:30,28.9,28.9,28.1,28.29,21484,0.0,0.0
2023-03-03 00:00:00+05:30,28.9,28.9,26.88,27.11,36790,0.0,0.0
2023-03-06 00:00:00+05:30,26.57,27.0,25.76,25.9,27815,0.0,0.0
2023-03-08 00:00:00+05:30,25.76,25.76,24.61,24.61,16074,0.0,0.0
2023-03-09 00:00:00+05:30,23.38,25.84,23.38,25.84,21330,0.0,0.0
2023-03-10 00:00:00+05:30,27.09,27.13,26.0,27.02,15755,0.0,0.0
2023-03-13 00:00:00+05:30,25.95,26.5,25.67,25.86,20023,0.0,0.0
2023-03-14 00:00:00+05:30,27.15,27.15,24.61,25.5,6485,0.0,0.0
2023-03-15 00:00:00+05:30,24.76,26.77,24.76,25.24,31348,0.0,0.0
2023-03-16 00:00:00+05:30,24.3,26.4,23.98,24.25,3280,0.0,0.0
2023-03-17 00:00:00+05:30,23.45,25.46,23.45,24.73,11741,0.0,0.0
2023-03-20 00:00:00+05:30,24.25,25.96,23.7,25.9,49368,0.0,0.0
2023-03-21 00:00:00+05:30,27.15,27.19,25.11,25.44,86866,0.0,0.0
2023-03-22 00:00:00+05:30,26.65,26.65,25.02,25.87,20073,0.0,0.0
2023-03-23 00:00:00+05:30,25.35,25.65,25.0,25.0,11685,0.0,0.0
2023-03-24 00:00:00+05:30,24.5,26.25,24.37,26.19,113657,0.0,0.0
2023-03-27 00:00:00+05:30,27.0,27.1,25.35,26.64,68967,0.0,0.0
2023-03-28 00:00:00+05:30,26.02,27.97,26.0,27.04,28753,0.0,0.0
2023-03-29 00:00:00+05:30,27.5,28.29,25.69,26.47,158616,0.0,0.0
