date,open,high,low,close,volume,dividends,stock_splits
2022-08-01 00:00:00+05:30,10.22,10.22,9.71,9.74,24310,0.0,0.0
2022-08-02 00:00:00+05:30,9.79,10.14,9.68,9.76,12920,0.0,0.0
2022-08-03 00:00:00+05:30,10.0,10.0,9.45,9.6,3587,0.0,0.0
2022-08-04 00:00:00+05:30,10.0,10.0,9.4,9.48,10872,0.0,0.0
2022-08-05 00:00:00+05:30,9.3,9.85,9.25,9.59,2701,0.0,0.0
2022-08-08 00:00:00+05:30,10.0,10.0,9.12,9.13,31635,0.0,0.0
2022-08-10 00:00:00+05:30,9.5,9.5,8.68,8.74,20262,0.0,0.0
2022-08-11 00:00:00+05:30,8.72,9.17,8.72,8.9,20035,0.0,0.0
2022-08-12 00:00:00+05:30,9.07,9.56,8.67,9.0,43247,0.0,0.0
2022-08-16 00:00:00+05:30,9.0,9.43,9.0,9.32,18152,0.0,0.0
2022-08-17 00:00:00+05:30,9.49,9.7,9.02,9.18,14526,0.0,0.0
2022-08-18 00:00:00+05:30,9.13,9.37,8.9,8.95,18716,0.0,0.0
2022-08-19 00:00:00+05:30,9.0,9.1,8.6,8.95,9590,0.0,0.0
2022-08-22 00:00:00+05:30,8.9,9.3,8.6,8.91,19554,0.0,0.0
2022-08-23 00:00:00+05:30,9.3,9.3,8.55,9.01,10226,0.0,0.0
2022-08-24 00:00:00+05:30,9.01,9.01,8.56,8.56,35590,0.0,0.0
2022-08-25 00:00:00+05:30,8.96,8.96,8.14,8.46,51158,0.0,0.0
2022-08-26 00:00:00+05:30,8.51,8.78,8.05,8.12,68212,0.0,0.0
2022-08-29 00:00:00+05:30,8.39,8.52,8.02,8.11,65695,0.0,0.0
2022-08-30 00:00:00+05:30,8.27,8.5,8.06,8.43,51598,0.0,0.0
