date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-12-01 00:00:00+05:30,52.0,52.8,51.4,52.23,1627838.0,0.0,0.0,
2025-12-02 00:00:00+05:30,52.24,52.67,51.46,51.83,580528.0,0.0,0.0,
2025-12-03 00:00:00+05:30,51.8,51.8,50.6,50.73,844913.0,0.0,0.0,
2025-12-04 00:00:00+05:30,50.7,51.05,50.05,50.32,772997.0,0.0,0.0,
2025-12-05 00:00:00+05:30,50.32,50.46,48.83,49.14,1529001.0,0.0,0.0,
2025-12-08 00:00:00+05:30,49.16,49.5,44.52,45.65,6447323.0,0.0,0.0,
2025-12-09 00:00:00+05:30,45.95,54.78,45.66,53.77,115198841.0,0.0,0.0,
2025-12-10 00:00:00+05:30,52.3,53.23,50.01,51.49,36612088.0,0.0,0.0,
2025-12-11 00:00:00+05:30,51.06,51.39,48.83,50.72,13697185.0,0.0,0.0,
2025-12-12 00:00:00+05:30,50.44,50.73,48.62,49.1,7030695.0,0.0,0.0,
2025-12-15 00:00:00+05:30,49.04,49.05,48.4,48.69,2522358.0,0.0,0.0,
2025-12-16 00:00:00+05:30,48.74,54.7,48.5,51.36,133468601.0,0.0,0.0,
2025-12-17 00:00:00+05:30,50.9,51.3,49.86,50.29,6457050.0,0.0,0.0,
