segment,exchange,symbol,min_date,max_date,isin
EQ,NSE,AWL,2022-02-07,2024-12-19,INE699H01024
EQ,NSE,BANKBARODA,2021-10-28,2021-11-07,INE028A01039
EQ,NSE,CAMPUS,2022-05-09,2022-07-05,INE278Y01022
EQ,NSE,CRESSAN,2021-12-30,2024-01-18,INE716D01033
EQ,NSE,CTL,2021-11-24,2024-12-19,INE172D01021
EQ,NSE,DATAPATTNS,2021-12-24,2022-08-11,INE0IX101010
EQ,NSE,DEEPAKNTR,2024-06-21,2024-12-19,INE288B01029
EQ,NSE,FCSSOFT,2022-01-05,2024-12-19,INE512B01022
EQ,NSE,GITARENEW,2022-01-03,2024-12-19,INE776O01018
EQ,NSE,GRAVITA,2022-02-01,2024-12-19,INE024L01027
EQ,NSE,GREENPOWER,2021-11-29,2024-12-19,INE999K01014
EQ,NSE,HFCL,2021-12-15,2024-12-19,INE548A01028
EQ,NSE,IDFCFIRSTB,2024-06-21,2024-12-19,INE092T01019
EQ,NSE,JPPOWER,2021-12-20,2022-05-24,INE351F01018
EQ,NSE,KNRCON,2024-06-21,2024-12-19,INE634I01029
EQ,NSE,KPEL,2021-12-27,2024-12-19,INE127T01021
EQ,NSE,KPITTECH,2021-12-31,2024-12-19,INE04I401011
EQ,NSE,LLOYDSENGG,2021-11-15,2024-12-19,INE093R01011
EQ,NSE,PNB,2021-10-26,2021-12-22,INE160A01022
EQ,NSE,PRAKASHSTL,2021-12-21,2024-12-19,INE696K01024
EQ,NSE,RAGHUSYN,2022-02-16,2024-12-19,INE969C01022
EQ,NSE,RPOWER,2022-01-11,2022-02-20,INE614G01033
EQ,NSE,RTNINDIA,2021-12-27,2024-12-19,INE834M01019
EQ,NSE,RTNPOWER,2021-12-29,2024-12-19,INE399K01017
EQ,NSE,SUZLON,2021-12-21,2024-12-19,INE040H01021
EQ,NSE,TATAMOTORS,2022-01-24,2024-12-19,INE155A01022
EQ,NSE,TATAPOWER,2021-12-21,2024-12-19,INE245A01021
EQ,NSE,TRIDENT,2021-12-10,2024-12-19,INE064C01022
EQ,NSE,TTML,2021-11-26,2024-12-19,INE517B01013
EQ,NSE,URJA,2021-12-27,2024-03-12,INE550C01020
EQ,NSE,VIJIFIN,2021-12-31,2022-01-09,INE159N01027
EQ,NSE,VIKASLIFE,2022-01-05,2024-12-19,INE161L01027
EQ,NSE,VIRTUALG,2021-11-26,2022-06-02,INE247C01023
EQ,NSE,WIPRO,2022-01-24,2024-12-19,INE075A01022
EQ,NSE,YAMNINV,2021-11-25,2022-02-07,INE457N01025
EQ,NSE,ZOMATO,2022-01-24,2024-12-19,INE758T01015
