date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-12-01 00:00:00+05:30,17.91,17.91,15.46,15.62,188074.0,0.0,0.0,
2025-12-02 00:00:00+05:30,15.51,15.59,15.35,15.47,108261.0,0.0,0.0,
2025-12-03 00:00:00+05:30,15.5,15.76,15.28,15.36,206294.0,0.0,0.0,
2025-12-04 00:00:00+05:30,15.39,15.48,15.24,15.32,104603.0,0.0,0.0,
2025-12-05 00:00:00+05:30,15.32,15.38,15.06,15.11,112765.0,0.0,0.0,
2025-12-08 00:00:00+05:30,15.0,15.38,14.65,14.86,216219.0,0.0,0.0,
2025-12-09 00:00:00+05:30,14.66,15.22,14.5,15.18,176405.0,0.0,0.0,
2025-12-10 00:00:00+05:30,15.21,15.3,14.9,14.99,65627.0,0.0,0.0,
2025-12-11 00:00:00+05:30,15.06,15.11,14.86,14.94,79375.0,0.0,0.0,
2025-12-12 00:00:00+05:30,14.77,15.03,14.77,14.92,168792.0,0.0,0.0,
2025-12-15 00:00:00+05:30,14.65,15.05,14.65,15.02,111786.0,0.0,0.0,
2025-12-16 00:00:00+05:30,14.89,15.0,14.7,14.84,116746.0,0.0,0.0,
2025-12-17 00:00:00+05:30,15.13,15.13,14.6,14.63,64453.0,0.0,0.0,
